57,0.833,0.45
58,0.843,0.47
59,0.851,0.48201
59.04,0.827,0.53
60,0.862,0.497
61.99,0.859,0.585
63.58,0.879,0.613
65.26,0.902,0.645
67.01,0.927,0.677
68.88,0.957,0.712
69.85,0.975,0.731
70.85,0.999,0.75
71.87,1.03,0.763
72.93,1.072,0.768
74.02,1.124,0.765
75.14,1.137,0.755
76.3,1.156,0.737
77.49,1.172,0.717
78.72,1.178,0.703
79.99,1.172,0.696
81.3,1.167,0.699
82.66,1.168,0.711
84.05,1.175,0.739
85.51,1.195,0.771
87,1.225,0.799
88.56,1.265,0.808
90.17,1.32,0.795
91.84,1.363,0.775
93.57,1.371,0.755
95.37,1.368,0.747
97.24,1.372,0.766
99.19,1.383,0.793
101.2,1.41,0.824
103.3,1.475,0.861
105.1,1.554,0.874
106.9,1.635,0.859
108.8,1.716,0.81
110.7,1.766,0.718
112.7,1.739,0.569
113.7,1.687,0.565
114.8,1.587,0.618
115.9,1.513,0.725
117,1.492,0.914
118.1,1.567,1.11
118.7,1.645,1.136
119.2,1.772,1.13
119.8,1.919,1.045
120.4,2.048,0.925
121,2.152,0.81
121.5,2.24,0.715
122.8,2.332,0.46
124,2.33,0.323
125.2,2.292,0.236
126.5,2.243,0.168
127.8,2.19,0.119
129.1,2.14,0.077
130.5,2.092,0.0561
131.9,2.047,0.043
133.3,2.006,0.0339
134.8,1.969,0.0271
136.2,1.935,0.0228
137.8,1.904,0.0189
139.3,1.876,0.0156
140.9,1.85,0.0132
142.5,1.825,0.0109
144.2,1.803,0.00838
145.9,1.783,0.00557
147.6,1.764,0.00317
149.4,1.747,0.0014
151.2,1.73,0.00046
153.1,1.716,0.00012
155,1.702,0.00003
159,1.676,0
163.1,1.653,0
167.5,1.633,0
172.2,1.616,0
177.1,1.6,0
183.7,1.582,0
190.7,1.567,0
198.4,1.554,0
206.6,1.543,0
213.86,1.53429,0
214.44,1.53371,0
226.75,1.52276,0
230.21,1.52009,0
237.83,1.51474,0
239.94,1.51338,0
248.27,1.50841,0
265.2,1.50004,0
269.89,1.49805,0
275.28,1.49592,0
280.35,1.49404,0
289.36,1.49099,0
296.73,1.48873,0
302.15,1.48719,0
330.26,1.48053,0
334.15,1.47976,0
340.36,1.47858,0
346.62,1.47746,0
361.05,1.47512,0
365.02,1.47453,0
404.66,1.46961,0
435.83,1.46669,0
467.82,1.46429,0
486.13,1.46313,0
508.58,1.46187,0
546.07,1.46008,0
576.96,1.45885,0
579.07,1.45877,0
587.56,1.45847,0
589.26,1.45841,0
643.85,1.45671,0
656.27,1.45637,0
667.82,1.45608,0
706.52,1.45515,0
852.11,1.45248,0
894.35,1.45185,0
1013.98,1.45025,0
1082.97,1.44941,0
1128.66,1.44888,0
1362.2,1.44621,0
1395.06,1.44584,0
1469.5,1.44497,0
1529.52,1.44427,0
1660.6,1.44267,0
1681,1.44241,0
1693.2,1.44226,0
1709.13,1.44205,0
1813.07,1.44069,0
1970.09,1.43851,0
2058.1,1.43722,0
2152.6,1.43576,0
2325.42,1.43292,0
2437.4,1.43095,0
3243.9,1.41314,0
3266.8,1.41253,0
3302.6,1.41155,0
3422,1.40819,0
3507,1.40568,0
3556.4,1.40418,0
3706.7,1.39936,0
3846,1.395,0
4167,1.383,0
4545,1.365,0
5000,1.342,0
5556,1.306,0
5882,1.278,0
6250,1.239,0
6452,1.212,0
6667,1.175,0
6757,1.158,0
6849,1.135,0
6944,1.107,0
7042,1.084,0
7143,1.053,0
7246,1.014,0
7353,0.9702,0
7407,0.9488,0
7463,0.9175,0
7519,0.8897,0
7576,0.86,0
7634,0.8213,0
7692,0.7719,0.0372
7752,0.7037,0.0474
7813,0.6232,0.0768
7874,0.5456,0.132
7937,0.4677,0.216
8000,0.4113,0.323
8065,0.3931,0.446
8130,0.402,0.553
8197,0.4329,0.635
