200,1.13,1.23
220,1.32,1.29
230,1.38,1.31
240,1.37,1.33
250,1.39,1.34
255,1.39,1.34
260,1.45,1.35
265,1.47,1.34
270,1.51,1.33
275,1.51,1.31
280,1.57,1.27
285,1.61,1.24
290,1.6,1.17
295,1.64,1.08
300,1.67,0.96
302,1.65,0.82
304,1.64,0.75
306,1.62,0.68
308,1.58,0.61
310,1.54,0.54
312,1.47,0.48
314,1.4,0.43
316,1.3,0.38
318,1.19,0.34
320,1.07,0.32
322,0.92,0.3
324,0.79,0.3
326,0.64,0.35
328,0.48,0.44
330,0.3,0.55
332,0.23,0.68
334,0.2,0.79
336,0.19,0.92
338,0.1,1.05
340,0.16,1.14
345,0.14,1.27
350,0.12,1.35
355,0.1,1.42
360,0.09,1.52
365,0.07,1.6
370,0.06,1.7
400,0.075,1.93
450,0.055,2.42
500,0.05,2.87
550,0.055,3.32
600,0.06,3.75
650,0.07,4.2
700,0.075,4.62
750,0.08,5.05
800,0.09,5.45
850,0.1,5.85
900,0.105,6.22
950,0.11,6.56
1000,0.129,6.83
2000,0.48,14.4
4000,1.89,28.7
6000,4.15,42.6
8000,7.14,56.1
10000,10.69,69
12000,14.5,81.4
